,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,,World,514607738,611013.0,6266162.0,1969.0,469170487.0,818373.0,39171089.0,40862.0,66019.0,803.9,,,,,,,,,
1,1.0,USA,83270252,62021.0,1022036.0,429.0,80795315.0,37962.0,1452901.0,1591.0,248891.0,3055.0,1007292521.0,3010756.0,334564690.0,4.0,327.0,0.0,185.0,1.0,4343.0
2,2.0,India,43088401,3235.0,523920.0,31.0,42544689.0,2802.0,19792.0,698.0,30670.0,373.0,838628250.0,596930.0,1404902630.0,33.0,2682.0,2.0,2.0,0.02,14.0
3,3.0,Brazil,30482429,21432.0,663765.0,108.0,29585304.0,30996.0,233360.0,8318.0,141560.0,3083.0,63776166.0,296176.0,215332283.0,7.0,324.0,3.0,100.0,0.5,1084.0
4,4.0,France,28757765,67017.0,146262.0,120.0,27163913.0,146246.0,1447590.0,1511.0,438791.0,2232.0,269816888.0,4116918.0,65538567.0,2.0,448.0,0.0,1023.0,2.0,22088.0
5,5.0,Germany,24949403,158213.0,136183.0,236.0,22658600.0,189400.0,2154620.0,1446.0,296045.0,1616.0,122332384.0,1451576.0,84275579.0,3.0,619.0,1.0,1877.0,3.0,25566.0
6,6.0,UK,22082076,11046.0,175319.0,102.0,21357549.0,93421.0,549208.0,302.0,322176.0,2558.0,518291265.0,7561831.0,68540442.0,3.0,391.0,0.0,161.0,1.0,8013.0
7,7.0,Russia,18201074,5466.0,376292.0,125.0,17563272.0,7052.0,261510.0,2300.0,124623.0,2576.0,273400000.0,1871971.0,146049292.0,8.0,388.0,1.0,37.0,0.9,1791.0
8,8.0,S. Korea,17346753,51020.0,23007.0,49.0,,,,417.0,337813.0,448.0,15804065.0,307771.0,51350154.0,3.0,2232.0,3.0,994.0,1.0,318484.0
9,9.0,Italy,16586872,62675.0,163889.0,153.0,15222419.0,67398.0,1200564.0,366.0,275079.0,2718.0,214594775.0,3558863.0,60298685.0,4.0,368.0,0.0,1039.0,3.0,19910.0
10,10.0,Turkey,15036110,1193.0,98801.0,10.0,14932844.0,1354.0,4465.0,975.0,174829.0,1149.0,159323561.0,1852503.0,86004468.0,6.0,870.0,1.0,14.0,0.1,52.0
